 "GAGE No.    4:  K,I,J Coord. =     2,   40,   75;  STREAM SEGMENT =    16;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9340514E+03   5.1419377E-02   1.9340881E+03   1.0859540E+04  -2.4755375E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9340514E+03   5.1418554E-02   1.9340881E+03   1.0859326E+04  -2.4755650E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9340514E+03   5.1418472E-02   1.9340881E+03   1.0859343E+04  -2.4755779E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9340514E+03   5.1418565E-02   1.9340881E+03   1.0859376E+04  -2.4755859E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9340514E+03   5.1418655E-02   1.9340881E+03   1.0859408E+04  -2.4755953E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9340514E+03   5.1418748E-02   1.9340881E+03   1.0859440E+04  -2.4756067E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9340514E+03   5.1418837E-02   1.9340881E+03   1.0859472E+04  -2.4756203E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9340514E+03   5.1418927E-02   1.9340881E+03   1.0859502E+04  -2.4756363E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9340514E+03   5.1419016E-02   1.9340881E+03   1.0859535E+04  -2.4756546E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9340514E+03   5.1419098E-02   1.9340881E+03   1.0859562E+04  -2.4756763E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9340514E+03   5.1419109E-02   1.9340881E+03   1.0859592E+04  -2.4757023E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
