 "GAGE No.    6:  K,I,J Coord. =     2,   34,   45;  STREAM SEGMENT =    18;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   2.0179376E+03   3.7608381E-02   2.0182433E+03   5.2490894E+03  -4.9817892E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   2.0179376E+03   3.7608314E-02   2.0182433E+03   5.2490884E+03  -4.9817679E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   2.0179376E+03   3.7608314E-02   2.0182433E+03   5.2490879E+03  -4.9817578E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   2.0179376E+03   3.7608314E-02   2.0182433E+03   5.2490879E+03  -4.9817532E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490874E+03  -4.9817505E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490874E+03  -4.9817487E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490874E+03  -4.9817468E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490874E+03  -4.9817453E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490874E+03  -4.9817438E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490869E+03  -4.9817422E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490869E+03  -4.9817407E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490869E+03  -4.9817395E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490869E+03  -4.9817380E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490869E+03  -4.9817368E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   2.0179376E+03   3.7608311E-02   2.0182433E+03   5.2490869E+03  -4.9817355E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490869E+03  -4.9817340E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.7000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817328E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.8000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817316E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.9000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817300E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817288E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.1000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817276E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.2000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817264E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.3000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817252E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.4000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490864E+03  -4.9817239E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.5000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490859E+03  -4.9817227E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.6000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490859E+03  -4.9817215E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.7000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490859E+03  -4.9817203E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.8000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490859E+03  -4.9817191E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.9000000E+01   2.0179376E+03   3.7608307E-02   2.0182433E+03   5.2490859E+03  -4.9817178E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490859E+03  -4.9817169E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.1000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490859E+03  -4.9817157E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.2000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490859E+03  -4.9817145E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.3000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817136E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.4000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817123E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.5000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817111E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.6000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817102E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.7000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817090E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.8000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817078E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.9000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817068E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817059E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.1000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490854E+03  -4.9817047E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.2000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490850E+03  -4.9817038E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.3000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490850E+03  -4.9817026E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.4000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490850E+03  -4.9817014E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.5000000E+01   2.0179376E+03   3.7608303E-02   2.0182433E+03   5.2490850E+03  -4.9817001E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.6000000E+01   2.0179376E+03   3.7608299E-02   2.0182433E+03   5.2490850E+03  -4.9816992E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.7000000E+01   2.0179376E+03   3.7608299E-02   2.0182433E+03   5.2490850E+03  -4.9816980E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.8000000E+01   2.0179376E+03   3.7608299E-02   2.0182433E+03   5.2490850E+03  -4.9816971E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.9000000E+01   2.0179376E+03   3.7608299E-02   2.0182433E+03   5.2490850E+03  -4.9816962E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+01   2.0179376E+03   3.7608299E-02   2.0182433E+03   5.2490850E+03  -4.9816949E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.1000000E+01   2.0179376E+03   3.7608299E-02   2.0182433E+03   5.2490845E+03  -4.9816940E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.2000000E+01   2.0179376E+03   3.7608299E-02   2.0182433E+03   5.2490845E+03  -4.9816931E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
