 "GAGE No.    1:  K,I,J Coord. =     2,   43,   70;  STREAM SEGMENT =    20;  REACH =     6 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507302E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507303E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507305E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507306E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507308E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507311E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507313E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507316E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9612500E+03   0.0000000E+00   1.9507318E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9612500E+03   0.0000000E+00   1.9507321E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9612500E+03   0.0000000E+00   1.9507323E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9612500E+03   0.0000000E+00   1.9507327E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9612500E+03   0.0000000E+00   1.9507330E+03   0.0000000E+00   8.2470685E-01   0.0000000E+00   8.2470685E-01   8.2470685E-01
     1.4000000E+01   1.9612501E+03   0.0000000E+00   1.9507334E+03   0.0000000E+00   6.5248501E-01   0.0000000E+00   6.5247649E-01   1.4771833E+00
     1.5000000E+01   1.9612501E+03   0.0000000E+00   1.9507339E+03   0.0000000E+00   6.2241626E-01   0.0000000E+00   6.2241501E-01   2.0995984E+00
     1.6000000E+01   1.9612501E+03   0.0000000E+00   1.9507345E+03   0.0000000E+00   5.4893762E-01   0.0000000E+00   5.4893214E-01   2.6485305E+00
     1.7000000E+01   1.9612501E+03   0.0000000E+00   1.9507350E+03   0.0000000E+00   6.4971685E-01   0.0000000E+00   6.4971513E-01   3.2982457E+00
     1.8000000E+01   1.9612500E+03   0.0000000E+00   1.9507355E+03   0.0000000E+00   8.8870651E-01   0.0000000E+00   8.8870645E-01   4.1869521E+00
     1.9000000E+01   1.9612501E+03   0.0000000E+00   1.9507361E+03   0.0000000E+00   1.1718664E+00   0.0000000E+00   1.1718664E+00   5.3588185E+00
     2.0000000E+01   1.9612500E+03   0.0000000E+00   1.9507366E+03   0.0000000E+00   9.4705999E-01   0.0000000E+00   9.4703513E-01   6.3058538E+00
     2.1000000E+01   1.9612500E+03   0.0000000E+00   1.9507372E+03   0.0000000E+00   8.5848922E-01   0.0000000E+00   8.5846359E-01   7.1643176E+00
     2.2000000E+01   1.9612501E+03   0.0000000E+00   1.9507377E+03   0.0000000E+00   7.9160106E-01   0.0000000E+00   7.9159242E-01   7.9559102E+00
     2.3000000E+01   1.9612501E+03   0.0000000E+00   1.9507382E+03   0.0000000E+00   7.3135787E-01   0.0000000E+00   7.3134828E-01   8.6872587E+00
     2.4000000E+01   1.9612501E+03   0.0000000E+00   1.9507388E+03   0.0000000E+00   6.7692506E-01   0.0000000E+00   6.7691624E-01   9.3641748E+00
     2.5000000E+01   1.9612501E+03   0.0000000E+00   1.9507393E+03   0.0000000E+00   6.2759513E-01   0.0000000E+00   6.2758660E-01   9.9917612E+00
     2.6000000E+01   1.9612501E+03   0.0000000E+00   1.9507399E+03   0.0000000E+00   1.9888397E+00   0.0000000E+00   1.9888328E+00   1.1980594E+01
     2.7000000E+01   1.9612501E+03   0.0000000E+00   1.9507405E+03   0.0000000E+00   1.6977929E+00   0.0000000E+00   1.6977638E+00   1.3678357E+01
     2.8000000E+01   1.9612500E+03   0.0000000E+00   1.9507412E+03   0.0000000E+00   1.1080730E+00   0.0000000E+00   1.1079413E+00   1.4786299E+01
     2.9000000E+01   1.9612500E+03   0.0000000E+00   1.9507418E+03   0.0000000E+00   1.0012364E+00   0.0000000E+00   1.0011152E+00   1.5787414E+01
     3.0000000E+01   1.9612500E+03   0.0000000E+00   1.9507424E+03   0.0000000E+00   9.1952199E-01   0.0000000E+00   9.1940647E-01   1.6706820E+01
     3.1000000E+01   1.9612500E+03   0.0000000E+00   1.9507432E+03   0.0000000E+00   8.4640330E-01   0.0000000E+00   8.4636652E-01   1.7553186E+01
     3.2000000E+01   1.9612501E+03   0.0000000E+00   1.9507438E+03   0.0000000E+00   7.8073460E-01   0.0000000E+00   7.8071743E-01   1.8333904E+01
     3.3000000E+01   1.9612501E+03   0.0000000E+00   1.9507444E+03   0.0000000E+00   7.2155517E-01   0.0000000E+00   7.2153544E-01   1.9055439E+01
     3.4000000E+01   1.9612501E+03   0.0000000E+00   1.9507451E+03   0.0000000E+00   6.6805464E-01   0.0000000E+00   6.6803765E-01   1.9723476E+01
