 "GAGE No.    6:  K,I,J Coord. =     2,   34,   45;  STREAM SEGMENT =    18;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   2.0179376E+03   3.7608381E-02   2.0182433E+03   5.2490894E+03  -4.9817892E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   2.0179376E+03   3.7608158E-02   2.0182433E+03   5.2490513E+03  -4.9810294E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   2.0179376E+03   3.7608054E-02   2.0182433E+03   5.2490273E+03  -4.9805450E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   2.0179376E+03   3.7607975E-02   2.0182433E+03   5.2490093E+03  -4.9801846E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   2.0179376E+03   3.7607908E-02   2.0182432E+03   5.2489932E+03  -4.9798639E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   2.0179376E+03   3.7607837E-02   2.0182432E+03   5.2489775E+03  -4.9795505E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   2.0179376E+03   3.7607770E-02   2.0182432E+03   5.2489619E+03  -4.9792346E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   2.0179376E+03   3.7607703E-02   2.0182432E+03   5.2489458E+03  -4.9789127E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   2.0179376E+03   3.7607633E-02   2.0182432E+03   5.2489292E+03  -4.9785837E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   2.0179376E+03   3.7607558E-02   2.0182432E+03   5.2489126E+03  -4.9782483E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   2.0179376E+03   3.7607487E-02   2.0182430E+03   5.2488955E+03  -4.9779095E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   2.0179376E+03   3.7607413E-02   2.0182430E+03   5.2488784E+03  -4.9775668E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   2.0179376E+03   3.7609205E-02   2.0182432E+03   5.2492949E+03  -4.9786649E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   2.0179376E+03   3.7608989E-02   2.0182432E+03   5.2492446E+03  -4.9795023E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   2.0179376E+03   3.7609287E-02   2.0182433E+03   5.2493140E+03  -4.9802527E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   2.0179376E+03   3.7609227E-02   2.0182433E+03   5.2493003E+03  -4.9808179E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.7000000E+01   2.0179376E+03   3.7609637E-02   2.0182433E+03   5.2493955E+03  -4.9812744E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.8000000E+01   2.0179376E+03   3.7609912E-02   2.0182433E+03   5.2494614E+03  -4.9816272E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.9000000E+01   2.0179376E+03   3.7610114E-02   2.0182434E+03   5.2495063E+03  -4.9819791E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+01   2.0179376E+03   3.7609916E-02   2.0182434E+03   5.2494614E+03  -4.9823679E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.1000000E+01   2.0179376E+03   3.7609886E-02   2.0182434E+03   5.2494541E+03  -4.9827872E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.2000000E+01   2.0179376E+03   3.7609879E-02   2.0182434E+03   5.2494521E+03  -4.9832431E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.3000000E+01   2.0179376E+03   3.7609890E-02   2.0182434E+03   5.2494551E+03  -4.9837405E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.4000000E+01   2.0179376E+03   3.7609920E-02   2.0182435E+03   5.2494624E+03  -4.9842816E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.5000000E+01   2.0179376E+03   3.7609968E-02   2.0182435E+03   5.2494736E+03  -4.9848709E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.6000000E+01   2.0179376E+03   3.7611376E-02   2.0182437E+03   5.2498013E+03  -4.9862823E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.7000000E+01   2.0179376E+03   3.7612833E-02   2.0182438E+03   5.2501401E+03  -4.9879517E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.8000000E+01   2.0179376E+03   3.7611689E-02   2.0182438E+03   5.2498745E+03  -4.9894019E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.9000000E+01   2.0179376E+03   3.7611816E-02   2.0182439E+03   5.2499038E+03  -4.9906940E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+01   2.0179376E+03   3.7611961E-02   2.0182440E+03   5.2499375E+03  -4.9919699E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.1000000E+01   2.0179376E+03   3.7612125E-02   2.0182440E+03   5.2499761E+03  -4.9932767E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.2000000E+01   2.0179376E+03   3.7612520E-02   2.0182441E+03   5.2500674E+03  -4.9946402E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.3000000E+01   2.0179376E+03   3.7613187E-02   2.0182443E+03   5.2502227E+03  -4.9960754E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.4000000E+01   2.0179376E+03   3.7613928E-02   2.0182443E+03   5.2503950E+03  -4.9975848E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.5000000E+01   2.0179376E+03   3.7614789E-02   2.0182444E+03   5.2505957E+03  -4.9991626E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.6000000E+01   2.0179376E+03   3.7615754E-02   2.0182445E+03   5.2508198E+03  -5.0008032E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.7000000E+01   2.0179376E+03   3.7616797E-02   2.0182446E+03   5.2510620E+03  -5.0025061E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.8000000E+01   2.0179376E+03   3.7617899E-02   2.0182448E+03   5.2513188E+03  -5.0042752E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.9000000E+01   2.0179376E+03   3.7621979E-02   2.0182449E+03   5.2522676E+03  -5.0065967E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+01   2.0179376E+03   3.7629511E-02   2.0182451E+03   5.2540200E+03  -5.0096094E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.1000000E+01   2.0179376E+03   3.7625730E-02   2.0182452E+03   5.2531411E+03  -5.0125092E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.2000000E+01   2.0179376E+03   3.7626982E-02   2.0182454E+03   5.2534321E+03  -5.0151294E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.3000000E+01   2.0179376E+03   3.7641231E-02   2.0182456E+03   5.2567476E+03  -5.0188800E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.4000000E+01   2.0179376E+03   3.7634462E-02   2.0182458E+03   5.2551733E+03  -5.0226489E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.5000000E+01   2.0179376E+03   3.7635401E-02   2.0182461E+03   5.2553901E+03  -5.0259628E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.6000000E+01   2.0179376E+03   3.7636247E-02   2.0182462E+03   5.2555874E+03  -5.0291531E+02   0.0000000E+00   0.0000000E+00   0.0000000E+00
