 "GAGE No.    3:  K,I,J Coord. =     2,   38,   71;  STREAM SEGMENT =    22;  REACH =     1 "
     "DATA: Time           Stage           Depth         GW-Head    Midpt-Flow       Stream-Loss        GW-Rech.  Chnge-UZ-Stor.   Vol.-UZ-Stor."
     1.0000000E+00   1.9455035E+03   3.5427113E-03   1.9455480E+03   3.6191341E+01  -7.2382683E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+00   1.9455035E+03   3.5412645E-03   1.9455480E+03   3.6166721E+01  -7.2333443E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+00   1.9455035E+03   3.5399392E-03   1.9455479E+03   3.6144184E+01  -7.2288368E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+00   1.9455035E+03   3.5384409E-03   1.9455479E+03   3.6118683E+01  -7.2237366E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+00   1.9455035E+03   3.5376693E-03   1.9455479E+03   3.6105564E+01  -7.2211128E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+00   1.9455035E+03   3.5360495E-03   1.9455479E+03   3.6078007E+01  -7.2156013E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     7.0000000E+00   1.9455035E+03   3.5351552E-03   1.9455479E+03   3.6062805E+01  -7.2125610E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     8.0000000E+00   1.9455035E+03   3.5336921E-03   1.9455477E+03   3.6037933E+01  -7.2075867E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     9.0000000E+00   1.9455035E+03   3.5329235E-03   1.9455477E+03   3.6024872E+01  -7.2049744E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.0000000E+01   1.9455035E+03   3.5315626E-03   1.9455477E+03   3.6001743E+01  -7.2003487E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.1000000E+01   1.9455035E+03   3.5308858E-03   1.9455477E+03   3.5990246E+01  -7.1980492E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.2000000E+01   1.9455035E+03   3.5296027E-03   1.9455477E+03   3.5968452E+01  -7.1936905E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.3000000E+01   1.9455035E+03   3.5562764E-03   1.9455477E+03   3.6422577E+01  -7.1906105E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.4000000E+01   1.9455035E+03   3.5459956E-03   1.9455476E+03   3.6247238E+01  -7.1878967E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.5000000E+01   1.9455035E+03   3.5548022E-03   1.9455476E+03   3.6397419E+01  -7.1855133E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.6000000E+01   1.9455035E+03   3.5479481E-03   1.9455476E+03   3.6280518E+01  -7.1821762E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.7000000E+01   1.9455035E+03   3.5683508E-03   1.9455476E+03   3.6628944E+01  -7.1792976E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.8000000E+01   1.9455035E+03   3.5487600E-03   1.9455476E+03   3.6294697E+01  -7.1788750E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     1.9000000E+01   1.9455035E+03   3.5460873E-03   1.9455476E+03   3.6248981E+01  -7.1761810E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.0000000E+01   1.9455035E+03   3.5436153E-03   1.9455476E+03   3.6206856E+01  -7.1735054E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.1000000E+01   1.9455035E+03   3.5413459E-03   1.9455475E+03   3.6168232E+01  -7.1709572E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.2000000E+01   1.9455035E+03   3.5392484E-03   1.9455475E+03   3.6132538E+01  -7.1684944E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.3000000E+01   1.9455035E+03   3.5373028E-03   1.9455475E+03   3.6099445E+01  -7.1661125E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.4000000E+01   1.9455035E+03   3.5386721E-03   1.9455475E+03   3.6122749E+01  -7.1636253E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.5000000E+01   1.9455035E+03   3.5428556E-03   1.9455475E+03   3.6193974E+01  -7.1611633E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.6000000E+01   1.9455035E+03   3.5811681E-03   1.9455475E+03   3.6848759E+01  -7.1575684E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.7000000E+01   1.9455037E+03   3.6148436E-03   1.9455475E+03   3.7428135E+01  -7.1554535E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.8000000E+01   1.9455035E+03   3.5985559E-03   1.9455475E+03   3.7147472E+01  -7.1558754E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     2.9000000E+01   1.9455037E+03   3.6088726E-03   1.9455475E+03   3.7325207E+01  -7.1533501E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.0000000E+01   1.9455037E+03   3.6195635E-03   1.9455475E+03   3.7509716E+01  -7.1513390E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.1000000E+01   1.9455037E+03   3.6304661E-03   1.9455475E+03   3.7698250E+01  -7.1495499E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.2000000E+01   1.9455037E+03   3.6412999E-03   1.9455475E+03   3.7885967E+01  -7.1478813E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.3000000E+01   1.9455037E+03   3.6518469E-03   1.9455475E+03   3.8069077E+01  -7.1462837E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.4000000E+01   1.9455037E+03   3.6619441E-03   1.9455475E+03   3.8244705E+01  -7.1447311E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.5000000E+01   1.9455037E+03   3.6714710E-03   1.9455475E+03   3.8410709E+01  -7.1432030E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.6000000E+01   1.9455037E+03   3.6803498E-03   1.9455475E+03   3.8565678E+01  -7.1416908E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.7000000E+01   1.9455037E+03   3.6885333E-03   1.9455475E+03   3.8708729E+01  -7.1401840E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.8000000E+01   1.9455037E+03   3.6960042E-03   1.9455475E+03   3.8839512E+01  -7.1386826E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     3.9000000E+01   1.9455038E+03   3.7326282E-03   1.9455475E+03   3.9483250E+01  -7.1362320E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.0000000E+01   1.9455038E+03   3.8175741E-03   1.9455476E+03   4.0992226E+01  -7.1333282E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.1000000E+01   1.9455038E+03   3.7598268E-03   1.9455476E+03   3.9963768E+01  -7.1383377E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.2000000E+01   1.9455038E+03   3.7631420E-03   1.9455476E+03   4.0022667E+01  -7.1355988E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.3000000E+01   1.9455039E+03   3.9048637E-03   1.9455476E+03   4.2566021E+01  -7.1289429E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.4000000E+01   1.9455038E+03   3.8185655E-03   1.9455476E+03   4.1009949E+01  -7.1369186E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.5000000E+01   1.9455038E+03   3.8170591E-03   1.9455476E+03   4.0982880E+01  -7.1339424E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.6000000E+01   1.9455038E+03   3.8153026E-03   1.9455476E+03   4.0951412E+01  -7.1319023E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.7000000E+01   1.9455038E+03   3.8139694E-03   1.9455476E+03   4.0927544E+01  -7.1301285E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.8000000E+01   1.9455038E+03   3.8129434E-03   1.9455476E+03   4.0909187E+01  -7.1284698E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     4.9000000E+01   1.9455038E+03   3.8121478E-03   1.9455475E+03   4.0894958E+01  -7.1268646E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.0000000E+01   1.9455038E+03   3.8115263E-03   1.9455475E+03   4.0883846E+01  -7.1252838E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.1000000E+01   1.9455038E+03   3.8110402E-03   1.9455475E+03   4.0875156E+01  -7.1237305E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.2000000E+01   1.9455038E+03   3.8106518E-03   1.9455475E+03   4.0868217E+01  -7.1221870E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.3000000E+01   1.9455038E+03   3.8103350E-03   1.9455475E+03   4.0862553E+01  -7.1206551E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.4000000E+01   1.9455038E+03   3.8251225E-03   1.9455475E+03   4.1127884E+01  -7.1187950E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.5000000E+01   1.9455038E+03   3.8144465E-03   1.9455475E+03   4.0936104E+01  -7.1183983E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.6000000E+01   1.9455038E+03   3.8142230E-03   1.9455475E+03   4.0932110E+01  -7.1166794E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.7000000E+01   1.9455038E+03   3.8262100E-03   1.9455475E+03   4.1146477E+01  -7.1141739E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.8000000E+01   1.9455038E+03   3.8201085E-03   1.9455475E+03   4.1037228E+01  -7.1134270E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     5.9000000E+01   1.9455038E+03   3.8187213E-03   1.9455475E+03   4.1012951E+01  -7.1116928E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.0000000E+01   1.9455038E+03   3.8124565E-03   1.9455474E+03   4.0900875E+01  -7.0920525E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.1000000E+01   1.9455038E+03   3.8068744E-03   1.9455472E+03   4.0801109E+01  -7.0750175E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.2000000E+01   1.9455040E+03   4.0259324E-03   1.9455474E+03   4.4788410E+01  -7.0604477E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.3000000E+01   1.9455039E+03   3.9367527E-03   1.9455474E+03   4.3147362E+01  -7.0712761E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.4000000E+01   1.9455039E+03   3.8735557E-03   1.9455471E+03   4.1999046E+01  -7.0414513E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.5000000E+01   1.9455038E+03   3.8313267E-03   1.9455469E+03   4.1238617E+01  -7.0199097E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.6000000E+01   1.9455038E+03   3.8352436E-03   1.9455469E+03   4.1308914E+01  -7.0089554E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.7000000E+01   1.9455038E+03   3.8286143E-03   1.9455468E+03   4.1189747E+01  -7.0042725E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.8000000E+01   1.9455038E+03   3.8230233E-03   1.9455468E+03   4.1089539E+01  -7.0010872E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
     6.9000000E+01   1.9455038E+03   3.8180926E-03   1.9455468E+03   4.1001247E+01  -6.9984711E+01   0.0000000E+00   0.0000000E+00   0.0000000E+00
