Date,basin_potet,basin_swrad,basin_recharge,basin_cfs,basin_ssflow,basin_sroff
1980-10-01, 1.544E-02, 1.288E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-02, 1.486E-02, 1.276E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-03, 1.472E-02, 1.264E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-04, 1.437E-02, 1.252E+02, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-05, 1.423E-02, 1.240E+02, 1.322E-05, 0.000E+00, 0.000E+00, 0.000E+00
1980-10-06, 1.368E-02, 1.227E+02, 3.980E-05, 0.000E+00, 2.863E-06, 0.000E+00
1980-10-07, 1.313E-02, 1.215E+02, 9.631E-05, 0.000E+00, 3.675E-05, 0.000E+00
1980-10-08, 1.259E-02, 1.203E+02, 1.532E-04, 0.000E+00, 7.564E-05, 0.000E+00
1980-10-09, 1.166E-02, 1.191E+02, 2.046E-04, 0.000E+00, 1.189E-04, 0.000E+00
1980-10-10, 1.055E-02, 1.179E+02, 2.545E-04, 0.000E+00, 1.677E-04, 0.000E+00
1980-10-11, 1.084E-02, 1.167E+02, 3.002E-04, 0.000E+00, 2.153E-04, 0.000E+00
1980-10-12, 8.393E-03, 1.155E+02, 4.364E-04, 0.000E+00, 7.038E-04, 2.173E-04
1980-10-13, 5.823E-03, 1.143E+02, 5.381E-04, 0.000E+00, 6.705E-04, 0.000E+00
1980-10-14, 4.259E-03, 1.131E+02, 6.363E-04, 0.000E+00, 7.812E-04, 9.826E-07
1980-10-15, 3.103E-03, 1.119E+02, 7.298E-04, 0.000E+00, 8.426E-04, 0.000E+00
1980-10-16, 3.804E-03, 1.108E+02, 8.439E-04, 0.000E+00, 9.826E-04, 8.171E-06
1980-10-17, 4.309E-03, 1.096E+02, 1.001E-03, 0.000E+00, 1.182E-03, 0.000E+00
1980-10-18, 6.249E-03, 1.084E+02, 1.235E-03, 0.000E+00, 1.464E-03, 0.000E+00
1980-10-19, 6.900E-03, 1.073E+02, 1.408E-03, 0.000E+00, 1.465E-03, 0.000E+00
