TS iseg Exchange_Prev Exchange
5 9 702.6559 702.2383
5 10 2431.767 2431.114
5 11 654.6489 652.6929
5 12 807.5593 805.4144
5 13 -135.9834 -144.1733
5 14 180.299 181.1518
5 15 1.137878 1.104797
5 16 20.57715 21.2041
5 17 57.63902 57.63595
5 18 75.77979 76.56885
5 19 89.78662 92.70605
5 20 -586.6548 -586.6548
5 21 300.953 303.9057
5 22 -34.84448 147.5255
5 23 444.2464 446.1912
5 1 307.4052 307.4052
5 2 76.043 76.043
5 3 174.5103 174.5099
5 4 536.8546 536.8545
5 5 0 0
5 6 1038.901 1038.9
5 7 192.7322 192.7322
5 8 21.81601 21.81601
5 9 702.2383 702.2383
5 10 2431.114 2431.114
5 11 652.6929 652.6875
5 12 805.4144 805.4144
5 13 -144.1733 -145.2163
5 14 181.1518 181.1493
5 15 1.104797 1.104614
5 16 21.2041 21.18164
5 17 57.63595 57.63595
5 18 76.56885 76.56885
5 19 92.70605 92.53418
5 20 -586.6548 -586.6548
5 21 303.9057 303.904
5 22 147.5255 147.4857
5 23 446.1912 446.0979
5 1 307.4052 307.4052
5 2 76.043 76.043
5 3 174.5099 174.5098
5 4 536.8545 536.8544
5 5 0 0
5 6 1038.9 1038.9
5 7 192.7322 192.7322
5 8 21.81601 21.816
5 9 702.2383 702.2383
5 10 2431.114 2431.114
5 11 652.6875 652.686
5 12 805.4144 805.4144
5 13 -145.2163 -145.4927
5 14 181.1493 181.1487
5 15 1.104614 1.104553
5 16 21.18164 21.17383
5 17 57.63595 57.63595
5 18 76.56885 76.56885
5 19 92.53418 92.50439
5 20 -586.6548 -586.6548
5 21 303.904 303.9036
5 22 147.4857 147.477
5 23 446.0979 446.0728
6 1 307.4052 307.3242
6 2 76.043 75.87849
6 3 174.5098 174.0123
6 4 536.8544 536.7072
6 5 0 0
6 6 1038.9 1037.105
6 7 192.7322 192.6367
6 8 21.816 22.0344
6 9 702.2383 701.8463
6 10 2431.114 2430.476
6 11 652.686 651.1763
6 12 805.4144 803.5826
6 13 -145.4927 -150.272
6 14 181.1487 181.6673
6 15 1.104553 1.066528
6 16 21.17383 22.34668
6 17 57.63595 57.63274
6 18 76.56885 77.54248
6 19 92.50439 95.52246
6 20 -586.6548 -586.6548
6 21 303.9036 307.7744
6 22 147.477 151.4747
6 23 446.0728 447.5074
6 1 307.3242 307.3242
6 2 75.87849 75.87849
6 3 174.0123 174.012
6 4 536.7072 536.7071
6 5 0 0
6 6 1037.105 1037.104
6 7 192.6367 192.6367
6 8 22.0344 22.03439
6 9 701.8463 701.8462
6 10 2430.476 2430.476
6 11 651.1763 651.1694
6 12 803.5826 803.5826
6 13 -150.272 -151.2783
6 14 181.6673 181.6649
6 15 1.066528 1.066284
6 16 22.34668 22.3252
6 17 57.63274 57.63274
6 18 77.54248 77.54248
6 19 95.52246 95.35645
6 20 -586.6548 -586.6548
6 21 307.7744 307.7727
6 22 151.4747 151.4547
6 23 447.5074 447.4354
6 1 307.3242 307.3242
6 2 75.87849 75.87849
6 3 174.012 174.012
6 4 536.7071 536.7071
6 5 0 0
6 6 1037.104 1037.104
6 7 192.6367 192.6368
6 8 22.03439 22.03439
6 9 701.8462 701.8462
6 10 2430.476 2430.476
6 11 651.1694 651.1689
6 12 803.5826 803.5826
6 13 -151.2783 -151.5449
6 14 181.6649 181.6644
6 15 1.066284 1.066284
6 16 22.3252 22.31738
6 17 57.63274 57.63274
6 18 77.54248 77.54248
6 19 95.35645 95.33496
6 20 -586.6548 -586.6548
6 21 307.7727 307.7723
6 22 151.4547 151.4514
6 23 447.4354 447.4168
7 1 307.3242 307.2291
7 2 75.87849 75.70164
7 3 174.012 173.5426
7 4 536.7071 536.4271
7 5 0 0
7 6 1037.104 1035.673
7 7 192.6368 192.5389
7 8 22.03439 22.16147
7 9 701.8462 701.4524
7 10 2430.476 2429.789
7 11 651.1689 649.9346
7 12 803.5826 801.6873
7 13 -151.5449 -154.0913
7 14 181.6644 181.9645
7 15 1.066284 1.022705
7 16 22.31738 24.36426
7 17 57.63274 57.62949
7 18 77.54248 78.50098
7 19 95.33496 99.21094
7 20 -586.6548 -586.6548
7 21 307.7723 312.8899
7 22 151.4514 156.8282
7 23 447.4168 449.651
7 1 307.2291 307.2291
7 2 75.70164 75.70164
7 3 173.5426 173.5423
7 4 536.4271 536.427
7 5 0 0
7 6 1035.673 1035.671
7 7 192.5389 192.5389
7 8 22.16147 22.16146
7 9 701.4524 701.4524
7 10 2429.789 2429.789
7 11 649.9346 649.9302
7 12 801.6873 801.6872
7 13 -154.0913 -155.0771
7 14 181.9645 181.9622
7 15 1.022705 1.022461
7 16 24.36426 24.34082
7 17 57.62949 57.62949
7 18 78.50098 78.50098
7 19 99.21094 99.05078
7 20 -586.6548 -586.6548
7 21 312.8899 312.8882
7 22 156.8282 156.8068
7 23 449.651 449.5806
7 1 307.2291 307.2291
7 2 75.70164 75.70164
7 3 173.5423 173.5422
7 4 536.427 536.427
7 5 0 0
7 6 1035.671 1035.671
7 7 192.5389 192.5388
7 8 22.16146 22.16146
7 9 701.4524 701.4524
7 10 2429.789 2429.789
7 11 649.9302 649.9292
7 12 801.6872 801.6872
7 13 -155.0771 -155.3374
7 14 181.9622 181.9617
7 15 1.022461 1.022461
7 16 24.34082 24.33398
7 17 57.62949 57.62949
7 18 78.50098 78.50098
7 19 99.05078 99.02734
7 20 -586.6548 -586.6548
7 21 312.8882 312.8878
7 22 156.8068 156.8034
7 23 449.5806 449.5629
8 1 307.2291 307.1143
8 2 75.70164 75.51768
8 3 173.5422 173.0331
8 4 536.427 536.0153
8 5 0 0
8 6 1035.671 1034.432
8 7 192.5388 192.4371
8 8 22.16146 22.23965
8 9 701.4524 701.0389
8 10 2429.789 2429.01
8 11 649.9292 648.8662
8 12 801.6872 799.5093
8 13 -155.3374 -156.3608
8 14 181.9617 182.1174
8 15 1.022461 0.972168
8 16 24.33398 26.80566
8 17 57.62949 57.62642
8 18 78.50098 79.43701
8 19 99.02734 103.3184
8 20 -586.6548 -586.6548
8 21 312.8878 319.6706
8 22 156.8034 439.4281
8 23 449.5629 452.2111
8 1 307.1143 307.1143
8 2 75.51768 75.51768
8 3 173.0331 173.0326
8 4 536.0153 536.0152
8 5 0 0
8 6 1034.432 1034.429
8 7 192.4371 192.4371
8 8 22.23965 22.23968
8 9 701.0389 701.0389
8 10 2429.01 2429.01
8 11 648.8662 648.8584
8 12 799.5093 799.5093
8 13 -156.3608 -157.5884
8 14 182.1174 182.1146
8 15 0.972168 0.9718628
8 16 26.80566 26.77539
8 17 57.62642 57.62642
8 18 79.43701 81.53027
8 19 103.3184 103.1328
8 20 -586.6548 -586.6548
8 21 319.6706 319.6686
8 22 439.4281 439.3969
8 23 452.2111 452.1125
8 1 307.1143 307.1143
8 2 75.51768 75.51768
8 3 173.0326 173.0325
8 4 536.0152 535.7776
8 5 0 0
8 6 1034.429 1035.36
8 7 192.4371 192.4371
8 8 22.23968 21.99991
8 9 701.0389 701.0389
8 10 2429.01 2429.01
8 11 648.8584 649.4692
8 12 799.5093 799.5093
8 13 -157.5884 -151.8677
8 14 182.1146 181.6473
8 15 0.9718628 0.9719238
8 16 26.77539 26.85645
8 17 57.62642 57.62642
8 18 81.53027 80.0415
8 19 103.1328 103.8701
8 20 -586.6548 -586.6548
8 21 319.6686 319.6378
8 22 439.3969 439.3982
8 23 452.1125 452.0276
8 1 307.1143 307.1143
8 2 75.51768 75.51768
8 3 173.0325 173.0324
8 4 535.7776 535.7779
8 5 0 0
8 6 1035.36 1035.358
8 7 192.4371 192.4371
8 8 21.99991 21.99976
8 9 701.0389 701.0389
8 10 2429.01 2429.01
8 11 649.4692 649.478
8 12 799.5093 799.5093
8 13 -151.8677 -152.6118
8 14 181.6473 181.6469
8 15 0.9719238 0.9718628
8 16 26.85645 26.86523
8 17 57.62642 57.62642
8 18 80.0415 80.0415
8 19 103.8701 103.6514
8 20 -586.6548 -586.6548
8 21 319.6378 319.6359
8 22 439.3982 439.3968
8 23 452.0276 451.9396
9 1 307.1143 306.9706
9 2 75.51768 75.33045
9 3 173.0324 172.4984
9 4 535.7779 535.2911
9 5 0 0
9 6 1035.358 1033.865
9 7 192.4371 192.3275
9 8 21.99976 22.13813
9 9 701.0389 700.5876
9 10 2429.01 2428.103
9 11 649.478 648.3047
9 12 799.5093 796.9355
9 13 -152.6118 -153.834
9 14 181.6469 181.8647
9 15 0.9718628 0.9030762
9 16 26.86523 27.76953
9 17 57.62642 57.62381
9 18 80.0415 80.56934
9 19 103.6514 106.5591
9 20 -586.6548 -1084.069
9 21 319.6359 340.3076
9 22 439.3968 863.9652
9 23 451.9396 451.9841
9 1 306.9706 306.9706
9 2 75.33045 75.33045
9 3 172.4984 172.4981
9 4 535.2911 535.291
9 5 0 0
9 6 1033.865 1033.863
9 7 192.3275 192.3275
9 8 22.13813 22.13812
9 9 700.5876 700.5876
9 10 2428.103 2428.103
9 11 648.3047 648.2988
9 12 796.9355 796.9355
9 13 -153.834 -154.7734
9 14 181.8647 181.8625
9 15 0.9030762 0.902832
9 16 27.76953 27.69043
9 17 57.62381 57.62381
9 18 80.56934 80.56934
9 19 106.5591 106.3125
9 20 -1084.069 -1084.104
9 21 340.3076 340.3051
9 22 863.9652 863.9291
9 23 451.9841 451.8344
9 1 306.9706 306.9706
9 2 75.33045 75.33045
9 3 172.4981 172.4981
9 4 535.291 535.291
9 5 0 0
9 6 1033.863 1033.862
9 7 192.3275 192.3274
9 8 22.13812 22.13812
9 9 700.5876 700.5876
9 10 2428.103 2428.103
9 11 648.2988 648.2983
9 12 796.9355 796.9355
9 13 -154.7734 -155.0215
9 14 181.8625 181.862
9 15 0.902832 0.902832
9 16 27.69043 27.6543
9 17 57.62381 57.62381
9 18 80.56934 80.56934
9 19 106.3125 106.228
9 20 -1084.104 -1084.113
9 21 340.3051 340.3045
9 22 863.9291 863.9209
9 23 451.8344 451.782
10 1 306.9706 306.7949
10 2 75.33045 75.14288
10 3 172.4981 171.8177
10 4 535.291 534.6477
10 5 0 0
10 6 1033.862 1032.446
10 7 192.3274 192.2072
10 8 22.13812 22.274
10 9 700.5876 700.08
10 10 2428.103 2427.026
10 11 648.2983 647.2505
10 12 796.9355 793.8197
10 13 -155.0215 -154.9268
10 14 181.862 181.9738
10 15 0.902832 0.8397827
10 16 27.6543 27.42773
10 17 57.62381 57.62231
10 18 80.56934 81.56104
10 19 106.228 104.2705
10 20 -1084.113 -500.4111
10 21 340.3045 352.4895
10 22 863.9209 870.6724
10 23 451.782 452.8878
10 1 306.7949 306.7949
10 2 75.14288 75.14288
10 3 171.8177 171.8173
10 4 534.6477 534.6476
10 5 0 0
10 6 1032.446 1032.445
10 7 192.2072 192.2072
10 8 22.274 22.27399
10 9 700.08 700.08
10 10 2427.026 2427.026
10 11 647.2505 647.2456
10 12 793.8197 793.8197
10 13 -154.9268 -155.8555
10 14 181.9738 181.9716
10 15 0.8397827 0.8396606
10 16 27.42773 27.35059
10 17 57.62231 57.62231
10 18 81.56104 81.56104
10 19 104.2705 103.9756
10 20 -500.4111 -500.4453
10 21 352.4895 352.487
10 22 870.6724 870.6531
10 23 452.8878 452.7515
10 1 306.7949 306.7949
10 2 75.14288 75.14288
10 3 171.8173 171.8172
10 4 534.6476 534.6475
10 5 0 0
10 6 1032.445 1032.444
10 7 192.2072 192.2072
10 8 22.27399 22.27399
10 9 700.08 700.08
10 10 2427.026 2427.026
10 11 647.2456 647.2446
10 12 793.8197 793.8197
10 13 -155.8555 -156.1006
10 14 181.9716 181.9711
10 15 0.8396606 0.8395386
10 16 27.35059 27.31543
10 17 57.62231 57.62231
10 18 81.56104 81.56104
10 19 103.9756 103.8916
10 20 -500.4453 -500.4536
10 21 352.487 352.4865
10 22 870.6531 870.6501
10 23 452.7515 452.703
11 1 306.7949 306.5767
11 2 75.14288 74.95758
11 3 171.8172 170.986
11 4 534.6475 533.8651
11 5 0 0
11 6 1032.444 1030.981
11 7 192.2072 192.071
11 8 22.27399 22.45244
11 9 700.08 699.5229
11 10 2427.026 2425.769
11 11 647.2446 646.2563
11 12 793.8197 790.0666
11 13 -156.1006 -155.0625
11 14 181.9711 182.0085
11 15 0.8395386 0.7822266
11 16 27.31543 27.13867
11 17 57.62231 57.62298
11 18 81.56104 82.94824
11 19 103.8916 104.0771
11 20 -500.4536 -228.8359
11 21 352.4865 361.0979
11 22 870.6501 881.5035
11 23 452.703 453.5026
11 1 306.5767 306.5767
11 2 74.95758 74.95758
11 3 170.986 170.9856
11 4 533.8651 533.865
11 5 0 0
11 6 1030.981 1030.979
11 7 192.071 192.071
11 8 22.45244 22.45243
11 9 699.5229 699.5229
11 10 2425.769 2425.769
11 11 646.2563 646.2505
11 12 790.0666 790.0665
11 13 -155.0625 -155.9839
11 14 182.0085 182.0063
11 15 0.7822266 0.7820435
11 16 27.13867 27.11719
11 17 57.62298 57.62298
11 18 82.94824 82.94824
11 19 104.0771 103.9297
11 20 -228.8359 -228.8696
11 21 361.0979 361.0955
11 22 881.5035 881.4849
11 23 453.5026 453.4384
11 1 306.5767 306.5767
11 2 74.95758 74.95758
11 3 170.9856 170.9855
11 4 533.865 533.865
11 5 0 0
11 6 1030.979 1030.979
11 7 192.071 192.0712
11 8 22.45243 22.45243
11 9 699.5229 699.5229
11 10 2425.769 2425.769
11 11 646.2505 646.2495
11 12 790.0665 790.0665
11 13 -155.9839 -156.228
11 14 182.0063 182.0058
11 15 0.7820435 0.7820435
11 16 27.11719 27.11035
11 17 57.62298 57.62298
11 18 82.94824 82.94824
11 19 103.9297 103.8867
11 20 -228.8696 -228.8779
11 21 361.0955 361.0949
11 22 881.4849 881.4822
11 23 453.4384 453.4214
12 1 306.5767 319.6996
12 2 74.95758 83.67326
12 3 170.9855 207.7432
12 4 533.865 557.9608
12 5 0 0.7338867
12 6 1030.979 1037.948
12 7 192.0712 194.0813
12 8 22.45243 29.89557
12 9 699.5229 713.0677
12 10 2425.769 2471.572
12 11 646.2495 651.2563
12 12 790.0665 896.7996
12 13 -156.228 -163.6245
12 14 182.0058 184.1244
12 15 0.7820435 1.022278
12 16 27.11035 27.37305
12 17 57.62298 61.99953
12 18 82.94824 85.97559
12 19 103.8867 104.1445
12 20 -228.8779 -96.01318
12 21 361.0949 372.0698
12 22 881.4822 904.9654
12 23 453.4214 457.9581
12 1 319.6996 332.8503
12 2 83.67326 91.44023
12 3 207.7432 249.6598
12 4 557.9608 588.1483
12 5 0.7338867 2.070313
12 6 1037.948 1055.109
12 7 194.0813 198.6842
12 8 29.89557 38.54628
12 9 713.0677 730.6686
12 10 2471.572 2528.47
12 11 651.2563 664.3691
12 12 896.7996 992.9547
12 13 -163.6245 -161.7959
12 14 184.1244 186.2332
12 15 1.022278 1.588379
12 16 27.37305 28.49512
12 17 61.99953 69.91533
12 18 85.97559 89.73486
12 19 104.1445 105.3193
12 20 -96.01318 -87.46436
12 21 372.0698 378.0008
12 22 904.9654 913.7822
12 23 457.9581 463.766
12 1 332.8503 352.6245
12 2 91.44023 103.147
12 3 249.6598 316.8799
12 4 588.1483 633.6501
12 5 2.070313 4.059082
12 6 1055.109 1080.035
12 7 198.6842 205.6897
12 8 38.54628 51.76748
12 9 730.6686 756.9622
12 10 2528.47 2613.567
12 11 664.3691 683.6064
12 12 992.9547 1138.252
12 13 -161.7959 -145.4316
12 14 186.2332 190.245
12 15 1.588379 2.456787
12 16 28.49512 30.09766
12 17 69.91533 81.66648
12 18 89.73486 95.4375
12 19 105.3193 106.8838
12 20 -87.46436 -75.30371
12 21 378.0008 386.9333
12 22 913.7822 928.1149
12 23 463.766 472.8173
12 1 352.6245 379.0552
12 2 103.147 118.8015
12 3 316.8799 404.9149
12 4 633.6501 694.1036
12 5 4.059082 6.71875
12 6 1080.035 1114.721
12 7 205.6897 215.1902
12 8 51.76748 69.08477
12 9 756.9622 792.1616
12 10 2613.567 2727.197
12 11 683.6064 710.2104
12 12 1138.252 1341.267
12 13 -145.4316 -80.21094
12 14 190.245 195.6782
12 15 2.456787 3.605103
12 16 30.09766 32.33691
12 17 81.66648 97.33352
12 18 95.4375 103.6738
12 19 106.8838 109.6221
12 20 -75.30371 -58.2832
12 21 386.9333 398.7452
12 22 928.1149 946.7813
12 23 472.8173 484.591
12 1 379.0552 411.787
12 2 118.8015 138.1731
12 3 404.9149 514.8074
12 4 694.1036 776.2235
12 5 6.71875 10.02344
12 6 1114.721 1159.489
12 7 215.1902 226.6328
12 8 69.08477 91.04988
12 9 792.1616 839.6249
12 10 2727.197 2868.302
12 11 710.2104 742.3281
12 12 1341.267 1723.521
12 13 -80.21094 24.46289
12 14 195.6782 203.9744
12 15 3.605103 5.036987
12 16 32.33691 34.98242
12 17 97.33352 116.8239
12 18 103.6738 112.9106
12 19 109.6221 112.0654
12 20 -58.2832 -38.24023
12 21 398.7452 413.4974
12 22 946.7813 970.0912
12 23 484.591 499.5695
12 1 411.787 450.2617
12 2 138.1731 166.8087
12 3 514.8074 644.1677
12 4 776.2235 888.7822
12 5 10.02344 13.93359
12 6 1159.489 1224.857
12 7 226.6328 239.3022
12 8 91.04988 116.8914
12 9 839.6249 911.2057
12 10 2868.302 3047.265
12 11 742.3281 780.5693
12 12 1723.521 2502.094
12 13 24.46289 175.8047
12 14 203.9744 214.1999
12 15 5.036987 6.733032
12 16 34.98242 38.125
12 17 116.8239 139.9177
12 18 112.9106 124.2188
12 19 112.0654 115.1133
12 20 -38.24023 -14.35547
12 21 413.4974 430.9147
12 22 970.0912 998.4521
12 23 499.5695 517.2448
12 1 450.2617 493.8104
12 2 166.8087 213.2431
12 3 644.1677 791.0005
12 4 888.7822 1035.982
12 5 13.93359 18.39063
12 6 1224.857 1309.449
12 7 239.3022 252.4219
12 8 116.8914 148.7326
12 9 911.2057 1023.258
12 10 3047.265 3285.209
12 11 780.5693 825.7793
12 12 2502.094 4003.982
12 13 175.8047 357.4268
12 14 214.1999 227.6276
12 15 6.733032 8.665161
12 16 38.125 41.48535
12 17 139.9177 166.3124
12 18 124.2188 135.6128
12 19 115.1133 117.0771
12 20 -14.35547 11.30859
12 21 430.9147 450.9037
12 22 998.4521 1040.123
12 23 517.2448 537.8564
12 1 493.8104 544.7663
12 2 213.2431 282.2438
12 3 791.0005 975.7609
12 4 1035.982 1229.702
12 5 18.39063 23.33594
12 6 1309.449 1423.626
12 7 252.4219 265.9019
12 8 148.7326 192.8208
12 9 1023.258 1188.676
12 10 3285.209 3637.821
12 11 825.7793 886.2441
12 12 4003.982 6427.692
12 13 357.4268 573.334
12 14 227.6276 242.9779
12 15 8.665161 10.8208
12 16 41.48535 45.39258
12 17 166.3124 195.6619
12 18 135.6128 148.4644
12 19 117.0771 120.5332
12 20 11.30859 39.71777
12 21 450.9037 473.1724
12 22 1040.123 1099.311
12 23 537.8564 557.5285
12 1 544.7663 646.0677
12 2 282.2438 406.6675
12 3 975.7609 1278.618
12 4 1229.702 1520.646
12 5 23.33594 28.7041
12 6 1423.626 1587.13
12 7 265.9019 279.8076
12 8 192.8208 396.3924
12 9 1188.676 1433.964
12 10 3637.821 4224.922
12 11 886.2441 975.2109
12 12 6427.692 9941.433
12 13 573.334 816.1992
12 14 242.9779 261.8712
12 15 10.8208 12.31787
12 16 45.39258 51.02734
12 17 195.6619 227.6069
12 18 148.4644 165.6191
12 19 120.5332 133.6855
12 20 39.71777 75.79492
12 21 473.1724 486.217
12 22 1099.311 1176.53
12 23 557.5285 571.116
12 1 646.0677 807.0323
12 2 406.6675 594.6209
12 3 1278.618 1761.207
12 4 1520.646 1950.152
12 5 28.7041 34.57813
12 6 1587.13 1824.812
12 7 279.8076 299.0078
12 8 396.3924 844.8942
12 9 1433.964 1817.312
12 10 4224.922 5117.445
12 11 975.2109 1126.173
12 12 9941.433 14681.63
12 13 816.1992 1092.097
12 14 261.8712 284.1881
12 15 12.31787 13.85205
12 16 51.02734 58.30664
12 17 227.6069 261.7971
12 18 165.6191 194.0635
12 19 133.6855 150.2598
12 20 75.79492 114.7168
12 21 486.217 514.0723
12 22 1176.53 1272.212
12 23 571.116 614.1914
12 1 807.0323 1042.497
12 2 594.6209 856.6546
12 3 1761.207 2478.504
12 4 1950.152 2567.789
12 5 34.57813 42.18555
12 6 1824.812 2150.796
12 7 299.0078 335.2363
12 8 844.8942 1488.719
12 9 1817.312 2389.213
12 10 5117.445 6411.826
12 11 1126.173 1370.39
12 12 14681.63 20816.82
12 13 1092.097 1411.453
12 14 284.1881 309.0747
12 15 13.85205 17.58301
12 16 58.30664 67.62109
12 17 261.7971 300.0328
12 18 194.0635 236.9297
12 19 150.2598 170.8467
12 20 114.7168 155.7959
12 21 514.0723 570.9707
12 22 1272.212 1388.093
12 23 614.1914 689.9756
12 1 1042.497 1366.375
12 2 856.6546 1208.725
12 3 2478.504 3503.439
12 4 2567.789 3442.565
12 5 42.18555 53.16016
12 6 2150.796 2579.819
12 7 335.2363 388.0898
12 8 1488.719 2370.949
12 9 2389.213 3262.406
12 10 6411.826 8185.561
12 11 1370.39 1719.986
12 12 20816.82 28600.1
12 13 1411.453 1778.043
12 14 309.0747 395.1931
12 15 17.58301 23.45215
12 16 67.62109 79.15625
12 17 300.0328 343.3753
12 18 236.9297 303.0342
12 19 170.8467 196.3506
12 20 155.7959 198.7119
