TS iseg Exchange_Prev Exchange
1 1 0 307.6903
1 2 0 76.6752
1 3 0 184.159
1 4 0 537.6856
1 5 0 0
1 6 0 1057.028
1 7 0 193.1743
1 8 0 19.00803
1 9 0 705.0337
1 10 0 2436.083
1 11 0 666.1206
1 12 0 829.7817
1 13 0 -64.63818
1 14 0 173.8847
1 15 0 1.207092
1 16 0 20.86279
1 17 0 57.64944
1 18 0 89.41943
1 19 0 74.0293
1 20 0 -586.6548
1 21 0 295.8411
1 22 0 -158.1164
1 23 0 407.0238
1 1 307.6903 307.6903
1 2 76.6752 76.6752
1 3 184.159 184.1583
1 4 537.6856 537.1905
1 5 0 0
1 6 1057.028 1059.025
1 7 193.1743 193.1743
1 8 19.00803 18.47072
1 9 705.0337 705.0337
1 10 2436.083 2436.083
1 11 666.1206 667.3672
1 12 829.7817 829.7817
1 13 -64.63818 -54.6709
1 14 173.8847 172.948
1 15 1.207092 1.207153
1 16 20.86279 21.03564
1 17 57.64944 57.64944
1 18 89.41943 90.75928
1 19 74.0293 75.22705
1 20 -586.6548 -586.6548
1 21 295.8411 295.7762
1 22 -158.1164 -158.1151
1 23 407.0238 406.6531
1 1 307.6903 307.6903
1 2 76.6752 76.6752
1 3 184.1583 184.1583
1 4 537.1905 537.1904
1 5 0 0
1 6 1059.025 1059.023
1 7 193.1743 193.1743
1 8 18.47072 18.47069
1 9 705.0337 705.0337
1 10 2436.083 2436.083
1 11 667.3672 667.3667
1 12 829.7817 829.7817
1 13 -54.6709 -54.85352
1 14 172.948 172.9475
1 15 1.207153 1.207153
1 16 21.03564 21.02002
1 17 57.64944 57.64944
1 18 90.75928 90.75903
1 19 75.22705 75.00098
1 20 -586.6548 -586.6548
1 21 295.7762 295.7756
1 22 -158.1151 -158.1157
1 23 406.6531 406.5781
2 1 307.6903 307.6068
2 2 76.6752 76.50888
2 3 184.1583 178.6996
2 4 537.1904 536.7404
2 5 0 0
2 6 1059.023 1050.099
2 7 193.1743 193.0278
2 8 18.47069 19.9064
2 9 705.0337 703.8363
2 10 2436.083 2433.76
2 11 667.3667 661.1738
2 12 829.7817 816.7973
2 13 -54.85352 -96.94189
2 14 172.9475 176.6722
2 15 1.207153 1.175049
2 16 21.02002 20.43457
2 17 57.64944 57.64438
2 18 90.75903 78.97241
2 19 75.00098 81.45459
2 20 -586.6548 -586.6548
2 21 295.7756 296.9091
2 22 -158.1157 -139.626
2 23 406.5781 410.9372
2 1 307.6068 307.6068
2 2 76.50888 76.50888
2 3 178.6996 178.6996
2 4 536.7404 536.7404
2 5 0 0
2 6 1050.099 1050.099
2 7 193.0278 193.0278
2 8 19.9064 19.9064
2 9 703.8363 703.8363
2 10 2433.76 2433.76
2 11 661.1738 661.1738
2 12 816.7973 816.7973
2 13 -96.94189 -96.94238
2 14 176.6722 176.6722
2 15 1.175049 1.175049
2 16 20.43457 20.43457
2 17 57.64438 57.64438
2 18 78.97241 78.97241
2 19 81.45459 81.45459
2 20 -586.6548 -586.6548
2 21 296.9091 296.9091
2 22 -139.626 -139.6259
2 23 410.9372 410.9501
3 1 307.6068 307.5432
3 2 76.50888 76.35474
3 3 178.6996 176.3324
3 4 536.7404 536.7903
3 5 0 0
3 6 1050.099 1044.799
3 7 193.0278 192.9243
3 8 19.9064 20.85161
3 9 703.8363 703.1547
3 10 2433.76 2432.557
3 11 661.1738 657.3271
3 12 816.7973 810.7767
3 13 -96.94238 -121.0034
3 14 176.6722 178.9201
3 15 1.175049 1.16394
3 16 20.43457 20.36426
3 17 57.64438 57.64179
3 18 78.97241 75.89404
3 19 81.45459 86.42627
3 20 -586.6548 -586.6548
3 21 296.9091 298.6844
3 22 -139.6259 -508.89
3 23 410.9501 440.0646
3 1 307.5432 307.5432
3 2 76.35474 76.35474
3 3 176.3324 176.3322
3 4 536.7903 536.7903
3 5 0 0
3 6 1044.799 1044.799
3 7 192.9243 192.9243
3 8 20.85161 20.85161
3 9 703.1547 703.1547
3 10 2432.557 2432.557
3 11 657.3271 657.3271
3 12 810.7767 810.7767
3 13 -121.0034 -121.0034
3 14 178.9201 178.9201
3 15 1.16394 1.163818
3 16 20.36426 20.36133
3 17 57.64179 57.64179
3 18 75.89404 75.89404
3 19 86.42627 86.41992
3 20 -586.6548 -586.6548
3 21 298.6844 298.6842
3 22 -508.89 -508.778
3 23 440.0646 439.9551
4 1 307.5432 307.4773
4 2 76.35474 76.20079
4 3 176.3322 175.1793
4 4 536.7903 536.8727
4 5 0 0
4 6 1044.799 1041.325
4 7 192.9243 192.8275
4 8 20.85161 21.44921
4 9 703.1547 702.6559
4 10 2432.557 2431.767
4 11 657.3271 654.6558
4 12 810.7767 807.5593
4 13 -121.0034 -134.5815
4 14 178.9201 180.3023
4 15 1.163818 1.138062
4 16 20.36133 20.6084
4 17 57.64179 57.63902
4 18 75.89404 75.77979
4 19 86.41992 89.99658
4 20 -586.6548 -586.6548
4 21 298.6842 300.9551
4 22 -508.778 -34.77087
4 23 439.9551 444.3672
4 1 307.4773 307.4773
4 2 76.20079 76.20079
4 3 175.1793 175.179
4 4 536.8727 536.8726
4 5 0 0
4 6 1041.325 1041.324
4 7 192.8275 192.8275
4 8 21.44921 21.44921
4 9 702.6559 702.6559
4 10 2431.767 2431.767
4 11 654.6558 654.6499
4 12 807.5593 807.5593
4 13 -134.5815 -135.687
4 14 180.3023 180.2997
4 15 1.138062 1.137939
4 16 20.6084 20.58496
4 17 57.63902 57.63902
4 18 75.77979 75.77979
4 19 89.99658 89.81592
4 20 -586.6548 -586.6548
4 21 300.9551 300.9534
4 22 -34.77087 -34.82959
4 23 444.3672 444.2723
4 1 307.4773 307.4773
4 2 76.20079 76.20079
4 3 175.179 175.179
4 4 536.8726 536.8726
4 5 0 0
4 6 1041.324 1041.323
4 7 192.8275 192.8275
4 8 21.44921 21.4492
4 9 702.6559 702.6559
4 10 2431.767 2431.767
4 11 654.6499 654.6489
4 12 807.5593 807.5593
4 13 -135.687 -135.9834
4 14 180.2997 180.299
4 15 1.137939 1.137878
4 16 20.58496 20.57715
4 17 57.63902 57.63902
4 18 75.77979 75.77979
4 19 89.81592 89.78662
4 20 -586.6548 -586.6548
4 21 300.9534 300.953
4 22 -34.82959 -34.84448
4 23 444.2723 444.2464
5 1 307.4773 307.4052
5 2 76.20079 76.043
5 3 175.179 174.5103
5 4 536.8726 536.8546
5 5 0 0
5 6 1041.323 1038.901
5 7 192.8275 192.7322
5 8 21.4492 21.81601
